nombre,color,monto,cantidad,tipo
Crema Facial para el Día FPS 30 TimeWise® Age Minimize 3D®,NA,198.78187499999999,1,compra
Dúo de Bronceador en Crema Mary Kay® de Edición Limitada ,Bronze & Shimmer,103.661875,1,compra
Labial con Forma de Corazón Mary Kay® de Edición Limitada ,Natural Confidence,80.46187499999999,1,compra
Labial con Forma de Corazón Mary Kay® de Edición Limitada ,Courageous Pink,80.46187499999999,1,compra
Rizador para pestañas Mary Kay® de Edición Limitada,NA,105.98187499999999,2,compra
Polvo Fijador con Acabado Sedoso Mary Kay® ,Deep Beige,111.78187499999999,1,compra
Polvo Fijador con Acabado Sedoso Mary Kay® ,Light Bronze,111.78187499999999,1,compra
Pro Palette Mary Kay®,NA,150.641875,1,compra
Delineador Líquido para Ojos Mary Kay® ),Negro (tintero,94.96187499999999,1,compra
Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Spiced Berry, Luminoso",96.12187499999999,1,compra
Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Luxe Lilac, Luminoso",96.12187499999999,1,compra
Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Peach Shimmer, Con Destellos",96.12187499999999,1,compra
Brocha en Forma de Corazón Mary Kay® de Edición Limitada,NA,140.78187499999999,4,compra
Polvo de Acabado Mate Mary Kay At Play® de Edición Especial ,"Banana Cake, Mate",118.741875,1,compra
Mary Kay Perfect Palette®,NA,83.36187499999998,1,compra
Rubor Compacto Mary Kay Chromafusion® ,"Wineberry, Con Destellos",73.50187499999998,1,compra
Rubor Compacto Mary Kay Chromafusion® ,"Shy Blush, Con Destellos",73.50187499999998,1,compra
Rubor Compacto Mary Kay Chromafusion® ,Rosy Nude,73.50187499999998,1,compra
Esponja Cosmética Mary Kay®,NA,33.481875,2,compra
Maquillaje Líquido TimeWise 3D® con Acabado Mate ,"Bronze W 110, Mate",170.94187499999998,1,compra
Corrector Mary Kay Perfecting Concealer® ,Deep Beige,115.84187499999999,2,compra
CC Cream Crema Correctora de Color con FPS 15 Mary Kay® ,"Medium to Deep, Natural",176.16187499999998,2,compra
Maquillaje en Polvo Traslúcido Mineral Mary Kay® ,"Beige 1, Traslúcido",86.26187499999999,2,compra
Sacapuntas Mary Kay®,NA,25.361874999999998,1,compra
